word,e_m,p_m,a_m,e_f,p_f,a_f
hag,-1.51,-0.86,-1.06,-1.15,-0.52,-1.26
love,2.87,2.62,0.50,2.89,2.67,0.48
athlete,1.33,1.82,2.13,1.00,1.78,1.48
boarder,0.48,-0.64,-0.18,0.41,-0.23,0.13
watch,0.12,0.29,-0.76,0.02,0.63,-0.66
stranger,-0.06,-0.16,-0.14,0.25,0.01,0.02
drunkard,-1.91,-1.83,-0.25,-1.65,-1.37,-0.39
amuse,1.75,1.21,1.48,1.90,1.31,1.22
villain,-2.14,0.96,0.85,-2.28,1.25,1.04
vampire,-2.17,1.55,-0.57,-1.84,1.78,0.74
enslave,-3.22,1.07,0.84,-2.66,1.81,0.58
heroine,1.47,0.61,1.27,1.58,1.76,1.55
lass,1.69,-0.85,1.45,1.18,-0.38,1.35
sock,-1.64,1.16,2.08,-2.02,2.35,2.39
boy_friend,1.27,1.08,1.39,2.34,1.62,1.68
grandparent,2.24,0.71,-1.77,2.52,1.04,-1.63
calm,1.71,1.39,-0.90,1.88,1.56,-0.96
child,1.42,-1.48,2.31,1.94,-1.10,2.52
ogre,-2.28,1.99,0.40,-2.07,1.58,-0.29
laugh_at,-1.39,-0.47,2.15,-1.64,-0.56,1.72
disciplinarian,-0.62,1.02,-0.93,0.25,1.56,-0.23
coach,0.55,1.66,0.84,1.37,1.96,0.95
admire,1.61,0.35,0.20,1.39,0.86,0.29
athlete,1.33,1.82,2.13,1.00,1.78,1.48
niece,1.31,-0.60,1.33,1.71,-0.47,1.35
love,2.87,2.62,0.50,2.89,2.67,0.48
auntie,1.06,-0.54,-0.86,1.41,0.10,-0.38
auntie,1.06,-0.54,-0.86,1.41,0.10,-0.38
oppress,-2.50,1.53,0.27,-2.26,1.21,0.30
killjoy,-1.63,0.19,-0.28,-1.23,0.35,0.00
uncle,1.55,0.98,-0.45,1.11,0.66,-0.34
play_with,1.59,1.06,1.25,1.20,0.51,1.22
auntie,1.06,-0.54,-0.86,1.41,0.10,-0.38
son,1.67,0.08,1.76,1.55,0.57,1.79
forsake,-1.51,0.18,0.18,-1.24,0.62,0.17
grandparent,2.24,0.71,-1.77,2.52,1.04,-1.63
heroine,1.47,0.61,1.27,1.58,1.76,1.55
annihilate,-2.74,2.45,1.86,-2.01,1.43,0.68
vampire,-2.17,1.55,-0.57,-1.84,1.78,0.74
alcoholic,-1.86,-1.37,-0.41,-1.34,-1.83,-0.58
chatter_to,-0.40,-0.46,1.65,0.22,-0.59,1.50
psychiatrist,1.04,1.37,-0.52,1.01,1.24,-0.36
scrooge,-1.99,0.31,-2.00,-1.60,0.01,-1.65
abandon,-2.55,-0.78,0.94,-2.60,0.54,0.32
grandparent,2.24,0.71,-1.77,2.52,1.04,-1.63
smart_aleck,-1.59,-0.94,1.67,-1.60,-0.75,1.58
attack,-1.94,1.55,2.08,-2.57,1.52,1.95
auntie,1.06,-0.54,-0.86,1.41,0.10,-0.38
adulteress,-2.09,-0.38,0.99,-1.60,-0.35,1.21
soothe,1.73,1.09,-1.26,2.00,1.49,-1.02
mobster,-2.23,1.83,0.95,-2.34,1.92,1.44
hag,-1.51,-0.86,-1.06,-1.15,-0.52,-1.26
pester,-1.55,-0.11,1.56,-1.42,-0.01,1.28
peeping_tom,-1.98,-1.09,0.60,-2.18,-0.82,1.29
child,1.42,-1.48,2.31,1.94,-1.10,2.52
admire,1.61,0.35,0.20,1.39,0.86,0.29
scholar,1.56,0.83,-0.34,1.35,0.71,0.13
brute,-1.96,1.69,1.91,-1.80,1.10,1.72
rescue,2.77,2.78,2.03,2.41,1.76,1.22
gangster,-2.06,1.41,1.64,-1.88,1.68,1.27
maniac,-1.98,0.40,1.82,-1.58,-0.23,1.32
silence,-1.05,1.79,-0.19,-0.80,1.11,-0.40
coward,-1.45,-2.24,-0.51,-1.30,-1.97,-1.14
uncle,1.55,0.98,-0.45,1.11,0.66,-0.34
play_with,1.59,1.06,1.25,1.20,0.51,1.22
child,1.42,-1.48,2.31,1.94,-1.10,2.52
child,1.42,-1.48,2.31,1.94,-1.10,2.52
forget,-1.47,-0.46,-0.18,-1.23,-0.40,0.18
villain,-2.14,0.96,0.85,-2.28,1.25,1.04
athlete,1.33,1.82,2.13,1.00,1.78,1.48
sock,-1.64,1.16,2.08,-2.02,2.35,2.39
child,1.42,-1.48,2.31,1.94,-1.10,2.52
schoolgirl,1.18,-0.85,1.98,1.19,-0.53,1.55
contemplate,0.76,0.39,-1.26,0.64,0.20,-0.89
coward,-1.45,-2.24,-0.51,-1.30,-1.97,-1.14
coach,0.55,1.66,0.84,1.37,1.96,0.95
bully,-2.28,0.74,2.35,-2.06,0.53,1.56
smart_aleck,-1.59,-0.94,1.67,-1.60,-0.75,1.58
gambler,-0.52,-0.43,1.21,-0.67,0.17,0.90
sock,-1.64,1.16,2.08,-2.02,2.35,2.39
winner,1.54,2.15,1.65,1.18,2.16,1.45
peeping_tom,-1.98,-1.09,0.60,-2.18,-0.82,1.29
soothe,1.73,1.09,-1.26,2.00,1.49,-1.02
lass,1.69,-0.85,1.45,1.18,-0.38,1.35
killjoy,-1.63,0.19,-0.28,-1.23,0.35,0.00
pester,-1.55,-0.11,1.56,-1.42,-0.01,1.28
niece,1.31,-0.60,1.33,1.71,-0.47,1.35
killjoy,-1.63,0.19,-0.28,-1.23,0.35,0.00
serve,0.29,-0.18,-0.17,0.90,0.43,-0.21
auntie,1.06,-0.54,-0.86,1.41,0.10,-0.38
smart_aleck,-1.59,-0.94,1.67,-1.60,-0.75,1.58
rescue,2.77,2.78,2.03,2.41,1.76,1.22
killjoy,-1.63,0.19,-0.28,-1.23,0.35,0.00
psychiatrist,1.04,1.37,-0.52,1.01,1.24,-0.36
enslave,-3.22,1.07,0.84,-2.66,1.81,0.58
heterosexual,1.65,0.76,0.37,1.27,0.43,0.36
chambermaid,0.89,-1.19,-0.48,1.12,-0.95,0.15
amuse,1.75,1.21,1.48,1.90,1.31,1.22
auntie,1.06,-0.54,-0.86,1.41,0.10,-0.38
killjoy,-1.63,0.19,-0.28,-1.23,0.35,0.00
abandon,-2.55,-0.78,0.94,-2.60,0.54,0.32
adulteress,-2.09,-0.38,0.99,-1.60,-0.35,1.21
hero,1.98,2.20,0.96,2.16,2.42,1.14
attack,-1.94,1.55,2.08,-2.57,1.52,1.95
scholar,1.56,0.83,-0.34,1.35,0.71,0.13
gangster,-2.06,1.41,1.64,-1.88,1.68,1.27
soothe,1.73,1.09,-1.26,2.00,1.49,-1.02
hag,-1.51,-0.86,-1.06,-1.15,-0.52,-1.26
chambermaid,0.89,-1.19,-0.48,1.12,-0.95,0.15
laugh_at,-1.39,-0.47,2.15,-1.64,-0.56,1.72
loafer,-1.55,-1.82,-1.29,-1.28,-1.33,-0.86
child,1.42,-1.48,2.31,1.94,-1.10,2.52
play_with,1.59,1.06,1.25,1.20,0.51,1.22
chambermaid,0.89,-1.19,-0.48,1.12,-0.95,0.15
sheriff,0.44,1.94,0.08,0.76,1.86,-0.35
protect,1.65,2.15,0.28,1.72,1.98,0.13
beggar,-1.16,-2.19,-1.29,-0.76,-2.06,-1.47
degenerate,-1.93,-1.27,0.00,-0.79,-1.23,-0.07
bully,-2.28,0.74,2.35,-2.06,0.53,1.56
niece,1.31,-0.60,1.33,1.71,-0.47,1.35
ghoul,-1.61,0.54,0.36,-1.14,0.68,0.72
serve,0.29,-0.18,-0.17,0.90,0.43,-0.21
uncle,1.55,0.98,-0.45,1.11,0.66,-0.34
